+----------------------+------------------------------------------------------------+-------------------------------------------------+--------------------------------+--------+
|          ID          |                            NAME                            |                     FAMILY                      |          PRODUCT IDS           | STATUS |
+----------------------+------------------------------------------------------------+-------------------------------------------------+--------------------------------+--------+
| fd800k2iuhnlm5boaicr | bellsoft-axiom-jdk17-for-ubuntu-v20240314                  | bellsoft-axiom-jdk17-for-ubuntu                 | f2e3hkhup107uf4kgi4t,          | READY  |
|                      |                                                            |                                                 | f2epb404fuib1kf1hknu           |        |
| fd800n45ob5uggkrooi8 | debian-9-v20211213                                         | debian-9                                        | f2e2skin3siruagto51r           | READY  |
| fd801ck746q39kn0upe5 | opensuse-15-3-v20240108                                    | opensuse-15-3                                   | f2e8a0h8347bhbn6andv           | READY  |
| fd801d06bg23g3klnkhd | wordpress-v20230807                                        | wordpress                                       | f2e796fkgkjuiuk4pilm,          | READY  |
|                      |                                                            |                                                 | f2e3eaei7io34qcf9rgp           |        |
| fd801iv1gjj2mbvjolim | ubuntu-20-04-lts-gpu-a100-v20231130                        | ubuntu-2004-lts-a100                            | f2epo5ej9m8ktbjcep92           | READY  |
| fd801j7590ch7dmu5ma1 | nodejs-v20240101                                           | nodejslts                                       | f2er186ujpnfe6p9cjs1,          | READY  |
|                      |                                                            |                                                 | f2e8gaeg7d74vpiabc94           |        |
| fd801q59l6btk8ebeqrf | ipsec-instance-ubuntu-v20240115                            | ipsec-instance-ubuntu                           | f2ee1abap95qj1kiijnn,          | READY  |
|                      |                                                            |                                                 | f2ecclhr264ghvho4fgi           |        |
| fd803574efskf64jq17g | atlas-biomed-1576590486                                    | atlas-biomed                                    | f2ej7cppkd0tgcgfv2if           | READY  |
| fd803lrp5ob4raaggfdk | lemp-v20211103                                             | lemp                                            | f2e2k33chv8tj53p8cbd,          | READY  |
|                      |                                                            |                                                 | f2ebhtsvcfc5803kqs5i           |        |
| fd804isoc4oc5fkc1rbt | pentestit-nemesida-waf-v20221022                           | pentestit-nemesida-waf                          | f2efb33ogsm7kttciv42,          | READY  |
|                      |                                                            |                                                 | f2en2qqan063u407f37v           |        |
| fd804mpmp6l0hm4ju14d | container-optimized-image-gpu-v20211111                    | container-optimized-image-gpu                   | f2em4flkr1drhov6hjp2           | READY  |
| fd804nmi5gak42ae1dcq | debian-10-v20211124                                        | debian-10                                       | f2eplucasqut7r1kfafp           | READY  |
| fd805b64a6b0utmkk6bg | almalinux-v20230626                                        | almalinux-8                                     | f2ek28k9mj9832tigkcd           | READY  |
| fd8067j7av2lcq8um6ki | lemp-v20230508                                             | lemp                                            | f2e19l145t96ss0lrlbo,          | READY  |
|                      |                                                            |                                                 | f2esv771rfdv8d4o446o           |        |
| fd806aa6rq1b2cdqe03u | fedora-35-v20230410                                        | fedora-35                                       | f2ekes304viace72no15           | READY  |
| fd807ed79a4kkqfvd1mb | ubuntu-18-04-lts-vgpu-v20211013                            | ubuntu-1804-lts-vgpu                            | f2er8s0d2c32p41bg1g2           | READY  |
| fd807fub99q3d7huhf9o | debian-10-gpu-v20220131                                    | debian-10-gpu                                   | f2efapmchqsk7bhosmel           | READY  |
| fd807vm443j75cnt06hn | lamp-v20230717                                             | lamp                                            | f2erlivdgkb8e31h1roq,          | READY  |
|                      |                                                            |                                                 | f2eet2p9bqb4alr7t1rl           |        |
| fd8088g36g82clahr33l | postgreprof-postgres-pro-enterprise-database-12-v20220630  | postgreprof-postgres-pro-enterprise-database-12 | f2e6g6sabaa0oogt3ee7,          | READY  |
|                      |                                                            |                                                 | f2ef1cb5nk8c1e1djju5           |        |
| fd808b5modcbs1emou1c | redmine-v20211020                                          | redmine                                         | f2eeld18js58djg1hq1b,          | READY  |
|                      |                                                            |                                                 | f2es49cpsep5btnp2vf0           |        |
| fd808e721rc1vt7jkd0o | ubuntu-20-04-lts-v20230626                                 | ubuntu-2004-lts                                 | f2e8r6k9f9dsnn65dcf8           | READY  |
| fd808qtmb1ihdimgdqv0 | lemp-v20240101                                             | lemp                                            | f2etn6e2b4hqt69pqmcn,          | READY  |
|                      |                                                            |                                                 | f2ed26mcnqh0glg7b4rp           |        |
| fd808t1bieogq81idtuh | almalinux-v20230529                                        | almalinux-8                                     | f2enrq8dgstia4bormhc           | READY  |
| fd8099smcnucft6isqj7 | debian-10-v20230424                                        | debian-10                                       | f2e1lislcq528cp3nhin           | READY  |
